Cambodia,25205,176,17701,7328,Cambodia,150.7568857,0.698274152
Cameroon,77733,1239,35261,41233,Cameroon,292.8252778,1.593917641
Canada,224195,2176,207486,14533,"Alberta, Canada",5080.162768,0.970583644
Canada,141373,1667,135068,4638,"British Columbia, Canada",2766.09853,1.179150191
Canada,0,1,0,0,"Diamond Princess, Canada",0,0
Canada,13,0,13,0,"Grand Princess, Canada",0,0
Canada,48436,1029,42335,5072,"Manitoba, Canada",3516.181651,2.124452886
Canada,2129,43,1957,129,"New Brunswick, Canada",272.9511675,2.019727572
Canada,1253,6,1156,91,"Newfoundland and Labrador, Canada",240.3306705,0.478850758
Canada,127,0,118,9,"Northwest Territories,Canada",282.8255835,0
Canada,5286,79,4264,943,"Nova Scotia, Canada",540.7910527,1.49451381
Canada,638,4,606,28,"Nunavut, Canada",1645.177927,0.626959248
Canada,529748,8588,502392,18768,"Ontario, Canada",3600.830815,1.621148169
Canada,199,0,185,14,"Prince Edward Island, Canada",125.8235435,0
Canada,367376,11084,348694,7598,"Quebec, Canada",4302.998686,3.017072427
Canada,13,0,13,0,"Repatriated Travellers, Canada",0,0
Canada,45605,527,43416,1662,"Saskatchewan, Canada",3859.381585,1.155575047
Canada,84,2,82,0,"Yukon, Canada",204.4890209,2.380952381
Central African Republic,7079,97,6665,317,Central African Republic,146.5703086,1.370250035
Chad,4924,173,4729,22,Chad,29.97712327,3.513403737
Chile,52109,1023,49938,1148,"Antofagasta, Chile",8577.133132,1.963192539
Chile,80020,1015,76608,2397,"Araucania, Chile",8359.589814,1.268432892
Chile,22144,429,21037,678,"Arica y Parinacota, Chile",9795.282835,1.937319364
Chile,20437,226,19433,778,"Atacama, Chile",7072.996844,1.105837452
Chile,5346,33,4894,419,"Aysen, Chile",5182.341651,0.617283951
Chile,126229,2040,120558,3631,"Biobio, Chile",8108.208799,1.616110403
Chile,36074,674,34069,1331,"Coquimbo, Chile",4761.703622,1.86838166
Chile,74766,1015,71694,2057,"Los Lagos, Chile",9021.995685,1.357568948
Chile,37405,427,35739,1239,"Los Rios, Chile",9719.699509,1.141558615
Chile,27382,395,26454,533,"Magallanes, Chile",16442.38679,1.442553502
Chile,81106,1338,76584,3184,"Maule, Chile",7761.711087,1.649692994
Chile,552133,15111,518971,18051,"Metropolitana, Chile",7762.517982,2.73684058
Chile,29044,485,27557,1002,"Nuble, Chile",6043.166066,1.669880182
Chile,54599,1131,51210,2258,"OHiggins, Chile",5970.007271,2.07146651
Chile,36161,660,34864,637,"Tarapaca, Chile",10939.38129,1.825170764
Chile,54,0,54,0,"Unknown, Chile",0,0
